,vocabulary_id,term,hateful_meaning,nonhateful_meaning,is_unambiguous,is_unambiguous_in,average_offensiveness,language,plural_of,variant_of,transliteration_of,is_about_nationality,is_about_ethnicity,is_about_religion,is_about_gender,is_about_sexual_orientation,is_about_disability,is_about_class,number_of_sightings,number_of_sightings_this_year,number_of_sightings_this_month,created_on,updated_on
0,7nLdosBKg,sandnigger,"Derogatory term for a person from the Middle East, Arab, South Asian world",,False,,,eng,,sand nigger,,False,True,False,False,False,False,False,0,0,0,2020-08-24 09:04:12,2020-08-24 09:04:12
1,T6auDhq9R,Bengali,"Used by Myanmar Buddhists to foment hate and exclusion from citizenship of Muslims. Calling them ""Bengali"" indicates they should be eliminated from Myanmar. Muslims in India are also treated the same way",A Bengali citizen or inhabitant of Bangladesh,False,,43.0,eng,,,,True,True,True,False,False,False,False,0,0,0,2013-05-22 22:32:09,2020-06-03 14:48:25
2,vqsyffkze,rapefugees,Indicating refugees are rapist,,False,,,eng,,,,False,False,False,False,False,False,True,0,0,0,2020-05-27 12:07:49,2020-05-27 17:22:16
3,ayhoGnAxg,Girl,"A disrespectful, belittling term used to refer to an adult woman.",A term used to refer to a female child.,False,,50.0,eng,,,,False,False,False,True,False,False,False,0,0,0,2020-01-06 18:34:23,2020-01-06 18:34:23
4,oLVQyHuFA,whitie,A Caucasian.,,False,,,eng,,whitey,,False,True,False,False,False,False,False,8,0,0,2020-01-05 15:20:49,2020-01-05 15:20:49
5,WXianaa2P,fish wagon,A derogatory term for a person who suffers from a sexually transmitted disease.,,False,,50.0,eng,,,,False,False,False,False,False,True,False,1,1,0,2019-12-21 14:39:59,2019-12-21 14:39:59
6,CPZaHMujK,skank,a dirty or promiscuous woman,a type of dance,False,,50.0,eng,,,,False,False,False,True,False,False,False,1,0,0,2019-12-02 16:35:12,2019-12-02 16:35:12
7,w9CQ9KeW4,gun burglar,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,89.0,eng,,gin jockey,,False,True,False,False,False,False,False,0,0,0,2014-02-03 23:40:56,2019-11-23 15:12:35
8,AYJoGxaFV,gun burglars,"In Australia, a white person having casual sex with an Aboriginal woman. Pejorative.",,False,,,eng,gun burglar,,,False,True,False,False,False,False,False,0,0,0,2018-11-01 20:34:25,2019-11-23 15:12:29
9,QgCzdCQBw,kanaka,[1] An offensive term for Pacific Islander [2] Dated reference to Pacific Islander labourers,Kanaka maoli can refer in a non-pejorative sense to people of Hawaiian descent,False,,91.0,eng,,,,False,True,False,False,False,False,False,19,0,0,2018-11-01 19:42:18,2019-11-01 19:14:03
10,zzaVUeKA8,cracker,"A poor Appalachian or poor Southerner, a white person, first used in the 19th century.",[1] Snack [2] Hacker [3] American musical group [4] British television show,False,,46.0,eng,,,,False,True,False,False,False,False,True,925,259,5,2013-04-18 17:34:47,2019-10-30 22:57:19
11,niaHtmNyk,ABCs,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,31.0,eng,ABC,,,True,True,False,False,False,False,False,2,0,0,2018-11-01 20:33:27,2019-10-30 22:55:46
12,rnAN2dkU6,ABC,[1] American-born Chinese [2] Australian-born Chinese,Letters of the English alphabet,False,,28.0,eng,,,,True,True,False,False,False,False,False,1,0,0,2013-08-20 18:40:47,2019-10-30 22:55:41
13,j7UaZBb9F,rube,A rural person.,,False,,53.0,eng,,,,False,False,False,False,False,False,True,114,65,0,2013-06-24 04:50:22,2019-10-30 22:53:42
14,WRaKdghPn,whoriental,An Asian woman (or less often a man) who is promiscuous.,,False,,,eng,,,,False,True,False,True,False,False,False,4,2,0,2019-04-11 20:25:57,2019-10-30 22:50:51
15,jTQCcisbD,whorientals,,,False,,,eng,whoriental,,,False,True,False,True,False,False,False,2,2,0,2019-04-11 20:27:05,2019-10-30 22:50:47
16,zPmE2uCCg,hoosier,A rural or unsophisticated person,A person from Indiana,False,,88.0,eng,,,,False,False,False,False,False,False,True,0,0,0,2013-08-09 15:28:04,2019-10-30 22:47:18
17,pbWuDaapo,hooknoses,,,False,,,eng,hooknose,,,False,True,True,False,False,False,False,13,13,0,2019-04-12 17:15:34,2019-10-30 22:46:53
18,arAfRhXak,hooknosed,,,False,,,eng,,hooknose,,False,True,True,False,False,False,False,138,113,0,2019-04-12 17:16:15,2019-10-30 22:46:48
19,JWkFPrJmY,hooknose,Referring to a stereotypical facial feature of Jewish people,,False,,,eng,,,,False,True,True,False,False,False,False,88,66,0,2019-04-12 17:14:59,2019-10-30 22:46:44
20,hExD3rxQp,dagowops,,,False,,100.0,eng,dagowop,,,True,True,False,False,False,False,False,0,0,0,2019-04-12 15:19:09,2019-10-30 22:43:58
21,oVFNgdGCE,dagowop,"Combination of ""Dago"" and ""Wop""",,False,,100.0,eng,,,,True,True,False,False,False,False,False,1,1,0,2019-04-12 15:18:23,2019-10-30 22:43:54
22,kurvPtF7E,chimp-outs,,,False,,,eng,chimp pack,,,False,True,False,False,False,False,False,16,16,0,2019-02-28 19:37:37,2019-10-30 22:43:01
23,pdqCdUuiB,bean bandit,Referring to Hispanic people,,False,,75.0,eng,,,,False,True,False,False,False,False,False,16,15,1,2019-04-11 20:41:41,2019-10-30 22:40:46
24,kpYzwEddG,bean bandits,,,False,,75.0,eng,bean bandit,,,False,True,False,False,False,False,False,6,6,0,2019-04-11 20:42:16,2019-10-30 22:40:39
